	J	r_X	sigma_Lambda_over_Lambda	Tmax_over_tau_E	sigma_t	tau_rp	g_E	g_I	beta	K	ell	CV_K	idx_species	idx_combined
22	0.00013026494559031425	61.6746717573527	1.9223717573789951	200.0	0.01	0.002	4.193646336216857	2.921547673876025	0.1360585138494172	500.0	4.7226088577898135	0.016753522781185606	1.0	1.0
23	0.00013026494559031425	72.26729501165805	1.9223717573789951	200.0	0.01	0.002	4.193646336216857	2.921547673876025	0.1360585138494172	500.0	4.7226088577898135	0.016753522781185606	1.0	1.0
24	0.00013026494559031425	75.22081622293734	1.9223717573789951	200.0	0.01	0.002	4.193646336216857	2.921547673876025	0.1360585138494172	500.0	4.7226088577898135	0.016753522781185606	1.0	1.0
25	0.00013026494559031425	78.72068411169188	1.9223717573789951	200.0	0.01	0.002	4.193646336216857	2.921547673876025	0.1360585138494172	500.0	4.7226088577898135	0.016753522781185606	1.0	1.0
26	1.000000116544458e-05	30.234673456745977	1.0723069736234536	200.0	0.01	0.002	7.102008331742646	6.624827652754239	0.1270241171871309	500.0	3.2443498376573308	0.08908465946488932	0.0	0.0
27	1.000000116544458e-05	33.164448975997836	1.0723069736234536	200.0	0.01	0.002	7.102008331742646	6.624827652754239	0.1270241171871309	500.0	3.2443498376573308	0.08908465946488932	0.0	0.0
28	1.000000116544458e-05	35.384623493599214	1.0723069736234536	200.0	0.01	0.002	7.102008331742646	6.624827652754239	0.1270241171871309	500.0	3.2443498376573308	0.08908465946488932	0.0	0.0
29	1.000000116544458e-05	38.633660566122316	1.0723069736234536	200.0	0.01	0.002	7.102008331742646	6.624827652754239	0.1270241171871309	500.0	3.2443498376573308	0.08908465946488932	0.0	0.0
30	1.000000116544458e-05	39.97181469547503	1.0723069736234536	200.0	0.01	0.002	7.102008331742646	6.624827652754239	0.1270241171871309	500.0	3.2443498376573308	0.08908465946488932	0.0	0.0
31	1.000000116544458e-05	56.48612793256832	1.0723069736234536	200.0	0.01	0.002	7.102008331742646	6.624827652754239	0.1270241171871309	500.0	3.2443498376573308	0.08908465946488932	0.0	0.0
32	1.000000116544458e-05	70.75450097240197	1.0723069736234536	200.0	0.01	0.002	7.102008331742646	6.624827652754239	0.1270241171871309	500.0	3.2443498376573308	0.08908465946488932	0.0	0.0
33	0.00034292339158021646	17.668753891416262	1.6736530828779235	200.0	0.01	0.002	6.3004073381537555	2.0613399508755776	0.621021270134094	500.0	6.665971363754955	0.01047291413981408	1.0	0.0
34	0.00034292339158021646	32.88621914983468	1.6736530828779235	200.0	0.01	0.002	6.3004073381537555	2.0613399508755776	0.621021270134094	500.0	6.665971363754955	0.01047291413981408	1.0	0.0
35	0.00034292339158021646	38.916148438967355	1.6736530828779235	200.0	0.01	0.002	6.3004073381537555	2.0613399508755776	0.621021270134094	500.0	6.665971363754955	0.01047291413981408	1.0	0.0
36	0.00034292339158021646	44.73260634731122	1.6736530828779235	200.0	0.01	0.002	6.3004073381537555	2.0613399508755776	0.621021270134094	500.0	6.665971363754955	0.01047291413981408	1.0	0.0
37	0.00034292339158021646	47.0732884302353	1.6736530828779235	200.0	0.01	0.002	6.3004073381537555	2.0613399508755776	0.621021270134094	500.0	6.665971363754955	0.01047291413981408	1.0	0.0
38	0.00034292339158021646	50.52322037966226	1.6736530828779235	200.0	0.01	0.002	6.3004073381537555	2.0613399508755776	0.621021270134094	500.0	6.665971363754955	0.01047291413981408	1.0	0.0
